rank;nombre;apellido;edad;fortuna;año;vivo;familia;empresa;categoria;país;género;selfMade;fuente
65;Iris Fontbona;Luksic;80;23100;2023;;;Antofagasta Minerals, Quiñenco;Metales, minería;Chile;f;FALSE;https://www.kaggle.com/datasets/prasertk/forbes-worlds-billionaires-list-2023?resource=download
766;Horst Paulmann;Paulmann;88;3700;2023;;;Cencosud;Retail;Chile;m;TRUE;https://www.kaggle.com/datasets/prasertk/forbes-worlds-billionaires-list-2023?resource=download
;Andrónico Luksic;Luksic;;3400;2004;No;Sí;Quiñenco, Antofagasta Minerals;Industrial, finanzas, transportes, telecomunicaciones, alimentos;;m;;https://es.wikipedia.org/wiki/Andrónico_Lukšić_Abaroa
878;Julio Ponce Lerou;;77;3300;2023;;;Soquimich (SQM);Metales, minería, químicos;Chile;m;TRUE;https://www.kaggle.com/datasets/prasertk/forbes-worlds-billionaires-list-2023?resource=download
;Juan Cúneo Solari;Solari;;3200;;;;Falabella;Retail, alimentos;Chile;m;;https://www.elmostrador.cl/mercados/sin-editar-mercado/2013/01/17/los-siete-multimillonarios-de-falabella-que-casi-nadie-conoce-fuera-de-chile/
;Teresa Matilde Solari;Solari;;3200;;;;Falabella;Retail;Chile;f;;https://www.elmostrador.cl/mercados/sin-editar-mercado/2013/01/17/los-siete-multimillonarios-de-falabella-que-casi-nadie-conoce-fuera-de-chile/
1027;Sebastián Piñera;;73;2900;2023;No;Sí;;Inversiones, finanzas, bancos, comunicaciones, aerolíneas, inmobiliarias;Chile;m;TRUE;https://www.kaggle.com/datasets/prasertk/forbes-worlds-billionaires-list-2023?resource=download
;María Luisa Solari;Solari;;2300;;;;Falabella;Retail;Chile;f;;https://www.elmostrador.cl/mercados/sin-editar-mercado/2013/01/17/los-siete-multimillonarios-de-falabella-que-casi-nadie-conoce-fuera-de-chile/
1575;Roberto Angelini Rossi;Angelini;74;1900;2023;;;Inversiones Angelini, Copec, Arauco;Forestal, pesca, combustibles;Chile;m;FALSE;https://www.kaggle.com/datasets/prasertk/forbes-worlds-billionaires-list-2023?resource=download
1905;Patricia Angelini Rossi;Angelini;68;1500;2023;;;Inversiones Angelini, AntarChile;Forestal, combustibles, pesca, transporte marítimo;Chile;f;FALSE;https://www.kaggle.com/datasets/prasertk/forbes-worlds-billionaires-list-2023?resource=download
1649;Álvaro Saieh Bendeck;Saieh;;1500;2019;;;CorpGroup;Financiero, retail, inmobiliario, hotelería, medios de comunicación;Chile;m;;https://www.rankia.cl/blog/mejores-opiniones-chile/2190823-hombres-mas-ricos-chile#8.-álvaro-saieh-bendeck
1511;Luis Enrique Yarur Rey;;;1100;2019;;;Banco de Crédito de Inversiones;Bancos, inversiones;Chile;m;;https://www.rankia.cl/blog/mejores-opiniones-chile/2190823-hombres-mas-ricos-chile#8.-álvaro-saieh-bendeck
2057;Bernardo Matte ;Matte;;1000;2019;;;CMPC;Bancos, inversiones, forestal, telecomunicaciones;Chile;m;;https://www.rankia.cl/blog/mejores-opiniones-chile/2190823-hombres-mas-ricos-chile#8.-álvaro-saieh-bendeck
;Wolf von Appen;;;1000;;;Sí;SQM, Ultramar;Químicos, energía, transporte marítimo;Chile;m;;https://www.eldesconcierto.cl/nacional/2018/12/18/quienes-son-los-von-appen-la-familia-de-origen-nazi-y-duena-de-ultramar-que-tiene-en-jaque-a-los-trabajadores-portuarios.html
;Isidoro Quiroga Moreno;;;500;2013;;;Australis, Soquimich;Energía, salud, pesca;Chile;m;;https://www.ciperchile.cl/2013/12/10/la-historia-del-discreto-empresario-que-se-transformo-en-el-zar-de-las-aguas-en-chile/#:~:text=Aunque es difícil hacer una,rondaría los US$ 500 millones.
;Leonardo Farkas;;;100;;;;;Inversiones, finanzas;Chile;m;;https://www.ciperchile.cl/2021/10/12/pandora-papers-las-fundaciones-privadas-de-leonardo-farkas-con-las-que-planeo-la-sucesion-de-su-patrimonio-en-panama/#:~:text=La cuantía real del patrimonio,millones)– es una incógnita.
;Christian Kast ;;;48;;;;Inversiones Bávaro SpA;Alimentos, inversiones;Chile;m;;https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2022/09/08/familia-kast-declara-us86-millones-en-el-extranjero-tras-reestructuracion-de-sus-negocios.shtml
